"Headlines:","Date:"
"A look at Paige Thompson, the former Amazon Web Services employee who was arrested in the Capital One data breach.","2019/07/30"
"Capital One Financial Corp's assurances that a major data breach would have a limited impact on customers or profit failed to convince investors on Tuesday, with the bank's shares closing down 5.9%.","reuters/20"
"The company’s acquisition of Whole Foods sets up a clash between two vastly different visions for the future of labor.","2017/07/18"
"Corey Payne did not see that the glasses he purchased, and gave to his fiance, were recalled by Amazon because he purchased them through his aunt's account.","interactiv"
"One of the country's biggest credit card issuers, Capital One Financial, is the latest big business to be hit by a data breach, disclosing that roughly 100 million people had some personal information stolen by a hacker.","aponline/2"
"Nearly half of British homes subscribe to a streaming service such as Netflix, Amazon Prime Video, Now TV or Disney Life, as traditional TV viewing continues to decline, according to media regulator Ofcom.","reuters/20"
"In nearly tripling its debt to buy Whole Foods, the e-commerce behemoth is starting to look like a traditional retailer.","2017/08/16"
"Silvia Furmanovich created a new collection inspired by her trips into the Amazon.","2018/11/30"
"The Salt Lake City Police Department found charred human remains in Ayoola Ajayi’s backyard. His book had been about a teenager who witnessed two fiery deaths.","2019/07/03"
"New movies and TV shows are added to streaming platforms all the time. Here are the ones we think are most interesting in the coming month.","2017/12/01"
