,Open,High,Low,Close,Headlines,Average Mean,Differential,Sentiment,Polarity,Average Polarity
2016-06-30,717.200012,719.369995,712.539978,715.619995,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",768.58099735,6.830016999999998,0,0.0,0.0
2016-07-01,717.320007,728.0,716.539978,725.679993,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",768.58099735,11.46002199999998,0,0.0,0.0
2016-07-02,717.320007,728.0,716.539978,725.679993,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",768.58099735,11.46002199999998,0,0.0,0.0
2016-07-03,717.320007,728.0,716.539978,725.679993,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",768.58099735,11.46002199999998,0,0.0,0.0
2016-07-04,717.320007,728.0,716.539978,725.679993,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",768.58099735,11.46002199999998,0,0.0,0.0
2016-07-05,722.799988,729.5599980000001,719.6099849999999,728.099976,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",768.58099735,9.950013000000126,0,0.0,0.0
2016-07-06,725.710022,737.77002,722.580017,737.6099849999999,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",768.58099735,15.190003000000047,0,0.0,0.0
2016-07-07,739.330017,739.549988,731.630005,736.570007,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",768.58099735,7.919983000000002,0,0.0,0.0
2016-07-08,740.1400150000001,746.099976,738.0,745.8099980000001,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",768.58099735,8.09997599999997,0,0.0,0.0
2016-07-09,740.1400150000001,746.099976,738.0,745.8099980000001,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",768.58099735,8.09997599999997,0,0.0,0.0
2016-07-10,740.1400150000001,746.099976,738.0,745.8099980000001,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",768.58099735,8.09997599999997,0,0.0,0.0
2016-07-11,750.0,755.900024,747.0,753.780029,"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",768.58099735,8.90002400000003,0,0.0,0.0
